'1':'00:0C:29:AB:4A:6D',
'2':'00:0C:29:9E:20:68',
'3':'00:50:56:A4:EF:E5',
'4':'00:50:56:A4:86:55',
'5':'00:50:56:A4:6B:C4',
'6':'00:50:56:A4:1A:C7',
'7':'E4:11:5B:AA:80:52',
'8':'LIBRE',
'9':'LIBRE',
'10':'LIBRE',
244:'00:08:9B:F9:E2:F3',
245:'00:50:56:A4:32:82',
249:'80:EE:73:9D:13:45',
253:'94:57:A5:20:26:40'

